No,datetime,duration,x,y,z,qw,qx,qy,qz,target_x,target_y,target_z
1,4/1/2024 6:02,0.249082,-0.006954,-0.004957,0.094151,-0.725619,0.007722,-0.003945,0.688042,0,0,1
2,4/1/2024 6:02,0.249158,-0.006932,-0.004923,0.094105,-0.725618,0.007731,-0.003939,0.688043,0,0,1
3,4/1/2024 6:02,0.448786,-0.006769,-0.004624,0.093913,-0.725608,0.007731,-0.003922,0.688054,0,0,1
4,4/1/2024 6:02,0.448876,-0.006748,-0.004574,0.093879,-0.725592,0.007721,-0.003917,0.688071,0,0,1
5,4/1/2024 6:02,1.450088,-0.006128,-0.002439,0.093083,-0.725615,0.007753,-0.003844,0.688047,0,0,1
6,4/1/2024 6:02,1.450154,-0.006123,-0.002396,0.093089,-0.725614,0.007738,-0.003838,0.688048,0,0,1
7,4/1/2024 6:02,1.550488,-0.006094,-0.002286,0.093177,-0.725613,0.007718,-0.003853,0.688049,0,0,1
8,4/1/2024 6:02,1.550546,-0.006097,-0.002244,0.09318,-0.725619,0.007726,-0.003854,0.688042,0,0,1
9,4/1/2024 6:02,1.650805,-0.006083,-0.002173,0.093264,-0.725628,0.007718,-0.00386,0.688033,0,0,1
10,4/1/2024 6:02,1.650869,-0.006081,-0.002141,0.093289,-0.725628,0.007706,-0.003863,0.688034,0,0,1
11,4/1/2024 6:02,1.751122,-0.00606,-0.002064,0.093374,-0.725608,0.007752,-0.003869,0.688054,0,0,1
12,4/1/2024 6:02,1.751182,-0.006065,-0.002035,0.093393,-0.725614,0.007777,-0.003876,0.688047,0,0,1
13,4/1/2024 6:02,1.851433,-0.00606,-0.001943,0.093426,-0.725615,0.007775,-0.003897,0.688046,0,0,1
14,4/1/2024 6:02,1.851491,-0.006052,-0.001911,0.093444,-0.725612,0.007776,-0.003891,0.688049,0,0,1
15,4/1/2024 6:02,1.951745,-0.006028,-0.001846,0.093429,-0.725597,0.007787,-0.003878,0.688065,0,0,1
16,4/1/2024 6:02,1.95183,-0.005988,-0.001843,0.093495,-0.725606,0.007795,-0.003889,0.688055,0,0,1
17,4/1/2024 6:02,2.052134,-0.005915,-0.001796,0.093532,-0.725596,0.007792,-0.00391,0.688066,0,0,1
18,4/1/2024 6:02,2.052194,-0.005891,-0.001788,0.093549,-0.725597,0.007792,-0.003899,0.688065,0,0,1
19,4/1/2024 6:02,2.152522,-0.005822,-0.001772,0.093563,-0.725594,0.007832,-0.003899,0.688068,0,0,1
20,4/1/2024 6:02,2.1526,-0.005794,-0.001783,0.0936,-0.72559,0.007842,-0.003895,0.688071,0,0,1
21,4/1/2024 6:02,2.252861,-0.005694,-0.001809,0.093656,-0.725588,0.00785,-0.003886,0.688074,0,0,1
22,4/1/2024 6:02,2.252919,-0.005657,-0.001835,0.093684,-0.725588,0.007848,-0.003875,0.688074,0,0,1
23,4/1/2024 6:02,2.353174,-0.005579,-0.001853,0.093696,-0.725595,0.00782,-0.003878,0.688066,0,0,1
24,4/1/2024 6:02,2.353231,-0.005533,-0.001888,0.09379,-0.725594,0.007827,-0.003875,0.688068,0,0,1
25,4/1/2024 6:02,3.464925,-0.005466,-0.00189,0.093876,-0.725596,0.007816,-0.003888,0.688065,0,0,1
26,4/1/2024 6:02,3.465005,-0.005441,-0.001896,0.09389,-0.725596,0.007819,-0.003889,0.688065,0,0,1
27,4/1/2024 6:02,4.154945,-0.005095,-0.002964,0.096423,-0.725608,0.007859,-0.004096,0.688051,0,0,1
28,4/1/2024 6:02,4.155027,-0.005044,-0.003055,0.096462,-0.72561,0.007868,-0.004102,0.688049,0,0,1
29,4/1/2024 6:02,4.355344,-0.004731,-0.003642,0.096881,-0.725603,0.007883,-0.004112,0.688056,0,0,1
30,4/1/2024 6:02,4.355406,-0.004655,-0.00372,0.096933,-0.7256,0.007877,-0.004124,0.688059,0,0,1
31,4/1/2024 6:02,4.555364,-0.004242,-0.004112,0.097591,-0.725593,0.007896,-0.004153,0.688067,0,0,1
32,4/1/2024 6:02,4.555422,-0.004186,-0.004144,0.097687,-0.72559,0.007906,-0.004158,0.688069,0,0,1
